CourseID,Title,Provider,Level,DurationHours,Description,CoversSkills
C016,Agile Delivery with Issue Tracking,Atlassian,Intermediate,14,"Plan sprints, manage backlogs and report progress with boards and workflows.",Atlassian JIRA|Microsoft Project
C017,Project Planning and Scheduling,PMI,Intermediate,20,"Build realistic schedules, manage dependencies and critical paths, and track against a baseline.",Microsoft Project|Monitoring
C018,Process Mapping and Diagramming,Microsoft Learn,Beginner,8,Document workflows and system architectures clearly enough for someone else to act on them.,Microsoft Visio
C019,Working with PDFs and Document Workflows,Adobe,Beginner,6,"Create, combine, annotate and secure portable documents, including forms and signatures.",Adobe Acrobat
C020,Digital Image Editing Foundations,Adobe,Beginner,16,"Retouch, composite and prepare imagery for print and screen with non-destructive techniques.",Adobe Photoshop|Adobe Creative Cloud
C021,Vector Graphics and Brand Assets,Adobe,Intermediate,14,"Produce scalable logos, icons and illustrations that hold up at any size.",Adobe Illustrator
C022,Layout and Publication Design,Adobe,Intermediate,14,"Set type and lay out multi-page publications with grids, styles and print-ready export.",Adobe InDesign
C023,Motion Graphics and Video Post-Production,Adobe,Advanced,20,"Animate, composite and grade footage for marketing and training material.",Adobe After Effects
C024,Technical Drawing and 3D Modelling,Autodesk,Intermediate,26,Produce dimensioned engineering drawings and parametric models for manufacture.,Autodesk AutoCAD
C025,Spatial Analysis and Mapping,ESRI,Intermediate,22,"Analyse location data, build map layers and communicate geographic patterns.",ESRI ArcGIS
C026,Managing the Customer Pipeline,Trailhead,Beginner,16,"Track opportunities from first contact to close, keep records clean and report on the funnel.",Salesforce|HubSpot
C027,Inbound Marketing and Web Analytics,HubSpot Academy,Beginner,12,"Attract and measure an audience, interpreting traffic and conversion data to guide campaigns.",HubSpot|Google Analytics
C028,Measuring Digital Engagement,Google,Beginner,10,"Set up tracking, build reports and interpret behavioural metrics without over-reading noise.",Google Analytics
C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,"Understand how finance, procurement and logistics modules connect across a single business system.",SAP
C030,Modern HR Information Systems,Workday,Beginner,14,"Administer employee records, absence and compensation in a cloud HR platform.",Workday|Oracle HRIS
C031,Recruiting Operations and Candidate Tracking,LinkedIn Learning,Beginner,10,"Run a structured hiring pipeline, from requisition through offer, without losing candidates in the process.",Applicant Tracking System (ATS)
C032,Clinical Records and Patient Data Systems,HIMSS,Intermediate,18,"Work accurately and compliantly with patient information, including coding and privacy obligations.",Electronic Medical Record (EMR)|MEDITECH
C033,Structured Problem Solving,Coursera,Intermediate,12,"Break ambiguous problems into testable parts, weigh evidence and avoid common reasoning traps.",Critical Thinking
C034,Learning How to Learn,Coursera,Beginner,8,"Evidence-based study technique - spaced repetition, retrieval practice and deliberate practice applied to work skills.",Active Learning|Learning Strategies
C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,"Write documents people act on: structure first, plain language, and editing down to what matters.",Writing|Reading Comprehension
C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,"Draw out what colleagues actually mean, and handle difficult conversations without escalating them.",Active Listening|Speaking
C037,Quantitative Reasoning for Professionals,Khan Academy,Beginner,16,"Refresh the arithmetic, algebra and statistics that underpin everyday business decisions.",Mathematics
C038,Scientific Method in Practice,edX,Intermediate,14,"Design experiments, control for confounders and interpret results honestly.",Science
C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,Set measurable objectives and monitor progress against them without micromanaging.,Monitoring
C040,Operating Systems for End Users,Apple,Beginner,6,"Work efficiently on a desktop platform - files, permissions, backup and troubleshooting.",Apple macOS
